,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,stacker,3F4zXf2YITI,2020-10-14T01:41:49Z,27594506.0,91.0,5.352941176470588,20.098047598680594,0.14173333333333332
1,box,3F4zXf2YITI,2020-10-14T01:41:49Z,27594506.0,91.0,5.352941176470588,20.098047598680594,0.14173333333333332
2,bell,3F4zXf2YITI,2020-10-14T01:41:49Z,27594506.0,91.0,5.352941176470588,20.098047598680594,0.14173333333333332
3,cupcake,3F4zXf2YITI,2020-10-14T01:41:49Z,27594506.0,91.0,5.352941176470588,20.098047598680594,0.14173333333333332
4,taco,3F4zXf2YITI,2020-10-14T01:41:49Z,27594506.0,91.0,5.352941176470588,20.098047598680594,0.14173333333333332
5,grande,3F4zXf2YITI,2020-10-14T01:41:49Z,27594506.0,91.0,5.352941176470588,20.098047598680594,0.14173333333333332
6,jannie,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
7,machine,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
8,story,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
9,kid,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
10,food,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
11,play,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
12,toy,JBD6k4U7nB0,2020-10-12T12:00:05Z,9397543.0,37328.0,2.4093461563286644,0.22563637164277892,
13,eating,y9Fne3oUwX4,2020-10-11T17:04:18Z,6886210.0,385889.0,115.12201670644392,0.6119584440811847,0.03637
14,challenge,y9Fne3oUwX4,2020-10-11T17:04:18Z,6886210.0,385889.0,115.12201670644392,0.6119584440811847,0.03637
15,sidemen,y9Fne3oUwX4,2020-10-11T17:04:18Z,6886210.0,385889.0,115.12201670644392,0.6119584440811847,0.03637
16,cheer,1g-QPrGXT7w,2020-10-16T04:27:42Z,4675630.0,55.0,1.6666666666666667,6.098335211568046,0.0
17,pepsi,1g-QPrGXT7w,2020-10-16T04:27:42Z,4675630.0,55.0,1.6666666666666667,6.098335211568046,0.0
18,eat,1g-QPrGXT7w,2020-10-16T04:27:42Z,4675630.0,55.0,1.6666666666666667,6.098335211568046,0.0
19,tagon,1g-QPrGXT7w,2020-10-16T04:27:42Z,4675630.0,55.0,1.6666666666666667,6.098335211568046,0.0
20,go,00g0gzq3iow,2020-10-15T14:30:00Z,3907685.0,32315.0,6.715502909393184,0.2181858650221936,0.19115799999999997
21,challenge,00g0gzq3iow,2020-10-15T14:30:00Z,3907685.0,32315.0,6.715502909393184,0.2181858650221936,0.19115799999999997
22,chocolate,00g0gzq3iow,2020-10-15T14:30:00Z,3907685.0,32315.0,6.715502909393184,0.2181858650221936,0.19115799999999997
23,win,00g0gzq3iow,2020-10-15T14:30:00Z,3907685.0,32315.0,6.715502909393184,0.2181858650221936,0.19115799999999997
24,food,00g0gzq3iow,2020-10-15T14:30:00Z,3907685.0,32315.0,6.715502909393184,0.2181858650221936,0.19115799999999997
25,edition,00g0gzq3iow,2020-10-15T14:30:00Z,3907685.0,32315.0,6.715502909393184,0.2181858650221936,0.19115799999999997
26,season,wTssiPsUUko,2020-10-15T13:00:12Z,3357819.0,70304.0,38.16720955483171,1.5363356688105128,0.170318
27,kitchen,wTssiPsUUko,2020-10-15T13:00:12Z,3357819.0,70304.0,38.16720955483171,1.5363356688105128,0.170318
28,army,wTssiPsUUko,2020-10-15T13:00:12Z,3357819.0,70304.0,38.16720955483171,1.5363356688105128,0.170318
29,giang,wTssiPsUUko,2020-10-15T13:00:12Z,3357819.0,70304.0,38.16720955483171,1.5363356688105128,0.170318
30,prank,DxL3FfIQ7IM,2020-10-13T19:00:03Z,2536454.0,28104.0,11.378137651821863,0.4472677099823604,0.30346
31,war,DxL3FfIQ7IM,2020-10-13T19:00:03Z,2536454.0,28104.0,11.378137651821863,0.4472677099823604,0.30346
32,sb,2SHffihOlF4,2020-10-11T11:50:11Z,2425174.0,14437.0,39.77134986225895,140.70784347744078,0.0
33,react,n56IWjFk-2M,2020-10-11T14:00:07Z,2335399.0,124364.0,108.99561787905346,1.1597620656820395,0.17951599999999995
34,uncle,n56IWjFk-2M,2020-10-11T14:00:07Z,2335399.0,124364.0,108.99561787905346,1.1597620656820395,0.17951599999999995
35,roger,n56IWjFk-2M,2020-10-11T14:00:07Z,2335399.0,124364.0,108.99561787905346,1.1597620656820395,0.17951599999999995
36,meme,n56IWjFk-2M,2020-10-11T14:00:07Z,2335399.0,124364.0,108.99561787905346,1.1597620656820395,0.17951599999999995
37,nut,n5GrDmHaRvA,2020-10-17T12:16:08Z,2296346.0,80972.0,37.784414372375174,0.36016944975723203,
38,cream,n5GrDmHaRvA,2020-10-17T12:16:08Z,2296346.0,80972.0,37.784414372375174,0.36016944975723203,
39,juris,1Hd6ZiVdhX8,2020-10-17T14:33:38Z,2265694.0,202789.0,229.65911664779162,1.4377985889101372,0.10205
40,indonesia,1Hd6ZiVdhX8,2020-10-17T14:33:38Z,2265694.0,202789.0,229.65911664779162,1.4377985889101372,0.10205
41,cook,1Hd6ZiVdhX8,2020-10-17T14:33:38Z,2265694.0,202789.0,229.65911664779162,1.4377985889101372,0.10205
42,masterchef,1Hd6ZiVdhX8,2020-10-17T14:33:38Z,2265694.0,202789.0,229.65911664779162,1.4377985889101372,0.10205
43,arnold,1Hd6ZiVdhX8,2020-10-17T14:33:38Z,2265694.0,202789.0,229.65911664779162,1.4377985889101372,0.10205
44,jerome,1Hd6ZiVdhX8,2020-10-17T14:33:38Z,2265694.0,202789.0,229.65911664779162,1.4377985889101372,0.10205
45,hungry,Lc1v-C1JABU,2020-10-17T07:03:23Z,1989951.0,76160.0,18.00047270148901,0.2588476138875328,0.302762
46,challenge,Lc1v-C1JABU,2020-10-17T07:03:23Z,1989951.0,76160.0,18.00047270148901,0.2588476138875328,0.302762
47,food,Lc1v-C1JABU,2020-10-17T07:03:23Z,1989951.0,76160.0,18.00047270148901,0.2588476138875328,0.302762
48,india,Lc1v-C1JABU,2020-10-17T07:03:23Z,1989951.0,76160.0,18.00047270148901,0.2588476138875328,0.302762
49,liquid,Lc1v-C1JABU,2020-10-17T07:03:23Z,1989951.0,76160.0,18.00047270148901,0.2588476138875328,0.302762
50,bird,Lc1v-C1JABU,2020-10-17T07:03:23Z,1989951.0,76160.0,18.00047270148901,0.2588476138875328,0.302762
51,chicken,4arU3-FIU4I,2020-10-17T04:30:00Z,1969282.0,87425.0,44.76446492575525,0.4394661607687533,0.099112
52,grill,4arU3-FIU4I,2020-10-17T04:30:00Z,1969282.0,87425.0,44.76446492575525,0.4394661607687533,0.099112
53,paha,4arU3-FIU4I,2020-10-17T04:30:00Z,1969282.0,87425.0,44.76446492575525,0.4394661607687533,0.099112
54,mukbang,4arU3-FIU4I,2020-10-17T04:30:00Z,1969282.0,87425.0,44.76446492575525,0.4394661607687533,0.099112
55,jumbo,4arU3-FIU4I,2020-10-17T04:30:00Z,1969282.0,87425.0,44.76446492575525,0.4394661607687533,0.099112
56,korea,4arU3-FIU4I,2020-10-17T04:30:00Z,1969282.0,87425.0,44.76446492575525,0.4394661607687533,0.099112
57,go,i3PrBKYJY80,2020-10-17T23:00:06Z,1958407.0,18745.0,8.730787144853284,0.15754346586081852,0.11012400000000001
58,challenge,i3PrBKYJY80,2020-10-17T23:00:06Z,1958407.0,18745.0,8.730787144853284,0.15754346586081852,0.11012400000000001
59,science,i3PrBKYJY80,2020-10-17T23:00:06Z,1958407.0,18745.0,8.730787144853284,0.15754346586081852,0.11012400000000001
